"BOM Report: LOOD-17747-001, Last Modified: 2025-02-14-07-12-34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOM Usage Attributes,,,,,,,,,,,,,,,,,,,Naming,,,,,,,,,,,,,,Part Attributes,,,,,,,,,,,,,,,,,,,,CAD Physical Attributes,,,,Physical Attributes,,,,,,CS Attributes,,System Attributes,,,
Level,Number,Type,Assembly Mode,L-Nr.,QTY,Unit,Version,Name,State,Service Level,"Food
Contact ",Delivery Item,"Lifetime 
Quantity",Lifetime Unit,"SPC 
Termination","Initial Spare 
Part Indic.","Operating
Element","BOM
Class 1",Name EN-US,Description EN-US,Name DE-DE,Description DE-DE,Name ZH-CHS,Description ZH-CHS,Name ES-ES,Description ES-ES,Name PT-BR,Description PT-BR,Name CS-CZ,Description CS-CZ,Name VI-VN,Description VI-VN,Partner,Source,Comparable,Configuration Type,Default Unit,"Reuse Not 
Allowed","Old Part 
Number",Machine Type,Basic Material,"Basic Material
Description",Supersede,Superseded By,"Material 
Group","No Logistic 
Relevance","Dangerous
Good Indic.",ClassNode,Legacy ID,Electrical Relevant,Doc Classification,Stackability,Delta X [mm],Delta Y [mm],Delta Z [mm],Mass [kg],Length [mm],Width [mm],Height [mm],Netto Weight,Weight Unit,Weight Code,Service Life in Months:,SPC Termination Part:,Design Office,Division,Modified by,Last Modified
2,UNE -14953-104,Standard Part,Component,60,1,each,02.2 ,base element 1200/100,Released,,,,,,,,-60,+K1,base element 1200/100,"base element 1200/100
in front / at the back
art. no.  8601.200",Sockelelement 1200/100,"Sockelelement 1200/100
vorn / hinten
Art.-Nr.  8601.200",底座元件 1200/100,"底座元件 1200/100
前面 / 后面
产品编号  8601.200",elemento de la base 1200/100,"elemento de la base 1200/100
delante / detrás
n.? art.  8601.200",elemento de base 1200/100,"elemento de base 1200/100
dianteiro / atrás
número do artigo  8601.200",díl podstavce 1200/100,"díl podstavce 1200/100
vp?edu / vzadu
?. polo?ky  8601.200",chi ti?t l?p b? 1200/100,"chi ti?t l?p b? 1200/100
??ng tr??c / ? phía xa
m? s? s?n ph?m  8601.200",BBAN,Buy,,,each,,,,,,,LONT-64220-001,27180100,false,Dangerous Good No / Hazardous Good No,K01099,ST0001910713,,,,,,,4.13,,1200,100,6.622,kg,Specified,,BELOW,S01 Standardization  BUZ,ML Insourcing (U9),"Hiremath, Nandini",2024-07-23 08:48:58
2,UNE -14953-121,Standard Part,Component,70,1,each,02.2 ,base - aperture lateral 600x100,Released,,,,,,,,-70,+K1,base - aperture lateral 600x100,"base - aperture lateral 600x100
RAL 7022
type designation TS
material sheet steel
order no. . 8601.060",Sockel - Blende seitlich 600x100,"Sockel - Blende seitlich 600x100
RAL 7022
Typenbezeichnung TS
Material Bogen Stahl
Bestell-Nr. . 8601.060",底座 - 观察孔 侧面的 600x100,"底座 - 观察孔 侧面的 600x100
RAL 7022
型号 TS
材料 标识纸/板 钢
订单号 . 8601.060",base - apertura lateral 600x100,"base - apertura lateral 600x100
RAL 7022
denominación de tipo TS
material folio acero
n.? de pedido . 8601.060",base - abertura lateral 600x100,"base - abertura lateral 600x100
RAL 7022
designa??o de tipo TS
material folha a?o
n.° de encomenda . 8601.060",podstavec - clona bo?ní 600x100,"podstavec - clona bo?ní 600x100
RAL 7022
typové ozna?ení TS
materiál arch ocel
obj. ?. . 8601.060",b? - kh?u ?? bên 600x100,"b? - kh?u ?? bên 600x100
RAL 7022
kí hi?u ch?ng lo?i TS
v?t li?u t? thép
??n hàng s? . 8601.060",BBAN,Buy,,,each,,,,,,,,27180100,false,Dangerous Good No / Hazardous Good No,K01099,ST0001911252,,,,,,,2.25,,600,100,1.998,kg,Specified,,BELOW,S01 Standardization  BUZ,ML Insourcing (U9),"Hiremath, Nandini",2024-08-06 10:01:07
2,UNE -14953-120,Standard Part,Component,80,1,each,02.3 ,base - aperture lateral 500,Released,,,,,,,,-70,+K1,base - aperture lateral 500,"base - aperture lateral 500
order no. 8601.050",Sockel - Blende seitlich 500,"Sockel - Blende seitlich 500
Bestell-Nr. 8601.050",底座 - 观察孔 侧面的 500,"底座 - 观察孔 侧面的 500
订单号 8601.050",base - apertura lateral 500,"base - apertura lateral 500
n.? de pedido 8601.050",base - abertura lateral 500,"base - abertura lateral 500
n.° de encomenda 8601.050",podstavec - clona bo?ní 500,"podstavec - clona bo?ní 500
obj. ?. 8601.050",b? - kh?u ?? bên 500,"b? - kh?u ?? bên 500
??n hàng s? 8601.050",BBAN,Buy,,,each,,,,,,HAZF-54236-001,UNE -14955-161,27180100,false,Dangerous Good No / Hazardous Good No,K01099,ST0001911277,true,,,,,,1.75,,500,100,1.636,kg,Specified,,BELOW,S01 Standardization  BUZ,ML Insourcing (U9),"Hiremath, Nandini",2024-07-23 08:48:57
2,LONT-16854-001,Standard Part,Component,90,4,each,00.4 ,Quick hold wedge  TS 8800.500,Closed Out,,,,,,,,-80,+K1,Quick hold wedge  TS 8800.500,"Quick hold wedge  TS 8800.500   Order number: TS 8800.500  Quick hold wedge  for fast mounting of switching cabinets  not suitable for transport  Material  : sheet steel, galvanized, chrome-plated  Packing unit = 6 piece  ",Anreih-Schnellverbinder TS 8800.500,"Anreih-Schnellverbinder TS 8800.500   TH-TEXT  Rittal  Bestell-Nr.: TS 8800.500  ------------------------------------------------------------  TT-TEXT  Anreih-Schnellverbinder  für die schnelle Montage von Schaltschr?nken  nicht für den Transport geeignet  Material  : Stahlblech, verzinkt, chromatiert  Verpackungseinheit = 6 Stück  ------------------------------------------------------------  ",,"快速连接件  TS 8800.500
订单号： TS 8800.500
快速连接件
用于快速安装开关柜
不适用于运输
材料： 镀锌、镀铬钢板
包装单位 = 6 件
",,,,,,,,,Corporate,Buy,,,each,false,102029878,,,,SNNN-21654-010,,27180100,false,Dangerous Good No / Hazardous Good No,K01077,,,,,,,,0.01,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"ST, Import",2024-01-31 08:13:52
2,LONT-10660-001,Standard Part,Component,100,4,each,01.3 ,angular baying bracket set 3mm steel,Closed Out,,,,,,,,-90,+K1,angular baying bracket set 3mm steel,"angular baying bracket set 3mm steel
 plate
 manufacturer Rittal
order no. TS 8800.430
see specification",Anreihwinkel Satz 3mm Stahlblech,"Anreihwinkel Satz 3mm Stahlblech
 Hersteller Rittal
Bestell-Nr. TS 8800.430
siehe Spezifikation",直角机架 系列 3mm 钢板,"直角机架 系列 3mm 钢板
 制造商 Rittal
订单号 TS 8800.430
参见 规格",escuadra de ensamblaje juego 3mm chapa,"escuadra de ensamblaje juego 3mm chapa
 de acero
 fabricante Rittal
n.? de pedido TS 8800.430
véase especificación",cantoneira para montagem modular,"cantoneira para montagem modular
 conjunto 3mm chapa de a?o
 fabricante Rittal
n.° de encomenda TS 8800.430
ver especifica??o",p?i?azovací úhelník sada 3mm ocelov?,"p?i?azovací úhelník sada 3mm ocelov?
 plech
 v?robce Rittal
obj. ?. TS 8800.430
viz specifikace",ke góc khung b? b? 3mm t?m thép,"ke góc khung b? b? 3mm t?m thép
 nhà s?n xu?t Rittal
??n hàng s? TS 8800.430
xem qui ??nh",Corporate,Buy,,,each,,102029877,,,,,,27180100,false,Dangerous Good No / Hazardous Good No,,,,,,,,,0.001,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"ST, Import",2024-01-31 09:00:19
2,LONT-18557-001,Standard Part,Component,110,2,each,00.4 ,fastening angle TS 4540.000,Closed Out,,,,,,,,-100,+K1,fastening angle TS 4540.000,"fastening angle TS 4540.000
for transportation from angereihten
switch cabinet
manufacturer Rittal
art. no. SZ 4540.000
packed unit 4 pc.",Befestigungswinkel TS 4540.000,"Befestigungswinkel TS 4540.000
zum Transport von angereihten
Schaltschrank
Hersteller Rittal
Art.-Nr. SZ 4540.000
Verpackungseinheit 4 Stück",紧固角件 TS 4540.000,"紧固角件 TS 4540.000
  运输   angereihten
控制柜
制造商 Rittal
产品编号 SZ 4540.000
袋装 4 件",escuadra de fijación TS 4540.000,"escuadra de fijación TS 4540.000
para transporte de angereihten
armario eléctrico
fabricante Rittal
n.? art. SZ 4540.000
unidad de embalaje 4 pieza",cantoneira de fixa??o TS 4540.000,"cantoneira de fixa??o TS 4540.000
para transporte de angereihten
painel elétrico
fabricante Rittal
número do artigo SZ 4540.000
unidade de embalagem 4 pe?a",upevňovací úhelník TS 4540.000,"upevňovací úhelník TS 4540.000
k p?eprava od angereihten
?ídící rozvadě?
v?robce Rittal
?. polo?ky SZ 4540.000
obalová jednotka 4 kus",ke góc c? ??nh TS 4540.000,"ke góc c? ??nh TS 4540.000
?? v?n chuy?n t? angereihten
t? c?u dao
nhà s?n xu?t Rittal
m? s? s?n ph?m SZ 4540.000
??n v? bao gói 4 mi?ng",Corporate,Buy,,,each,false,104737,,,,,LONT-15950-001,27180100,false,Dangerous Good No / Hazardous Good No,K00346,,,,,,,,,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Zandonella, Romolo",2023-10-09 02:24:48
2,LONT-10662-001,Standard Part,Component,120,4,each,00.7 ,"C-rail DK-TS profile rail 19""",Released,,,,,,,,-110,+K1,"C-rail DK-TS profile rail 19""","C-rail DK-TS profile rail 19""
 manufacturer Rittal
art. no. DK 7827.200
- profile rail 482,6mm  (19"")
- for DK-TS cabinet
- cabinet h 2000mm (42HE)
- material steel plate chromated
see specification","C-Tragschiene DK-TS Profilschiene 19""","C-Tragschiene DK-TS Profilschiene 19""
 Hersteller Rittal
Art.-Nr. DK 7827.200
- Profilschiene 482,6mm  (19"")
- für DK-TS Schrank
- Schrank H 2000mm (42HE)
- Material Stahlblech chromatiert
siehe Spezifikation","C 型导轨 DK-TS 型轨 19""","C 型导轨 DK-TS 型轨 19""
 制造商 Rittal
产品编号 DK 7827.200
- 型轨 482,6mm  (19"")
-   DK-TS 机箱
- 机箱 高度 2000mm (42HE)
- 材料 钢板 镀铬
参见 规格","riel en C DK-TS riel de perfil 19""","riel en C DK-TS riel de perfil 19""
 fabricante Rittal
n.? art. DK 7827.200
- riel de perfil 482,6mm  (19"")
- para DK-TS armario
- armario alt. 2000mm (42HE)
- material chapa de acero cromado
véase especificación",trilho com perfil C DK-TS perfil trilho,"trilho com perfil C DK-TS perfil trilho
 19""
 fabricante Rittal
número do artigo DK 7827.200
- perfil trilho 482,6mm  (19"")
- para DK-TS armário
- armário alt. 2000mm (42HE)
- material chapa de a?o cromatizado
ver especifica??o",kolejnice tvaru C DK-TS profilová,"kolejnice tvaru C DK-TS profilová
 kolejnice 19""
 v?robce Rittal
?. polo?ky DK 7827.200
- profilová kolejnice 482,6mm  (19"")
- pro DK-TS sk?íň
- sk?íň v??ka 2000mm (42HE)
- materiál ocelov? plech chromátovan?
viz specifikace","ray ch? C DK-TS ray ??nh hình 19""","ray ch? C DK-TS ray ??nh hình 19""
 nhà s?n xu?t Rittal
m? s? s?n ph?m DK 7827.200
- ray ??nh hình 482,6mm  (19"")
- ?? DK-TS t?
- t? chi?u cao 2000mm (42HE)
- v?t li?u t?m thép ???c cromat hóa
xem qui ??nh","BLOC, BLOA",Buy,,,each,false,102083916,,,,,,27180100,false,Dangerous Good No / Hazardous Good No,,,,,,,,,1.2,482.6,60,60,1.2,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Midilli, Sefa",2021-12-22 01:08:16
2,LONT-18558-001,Standard Part,Component,130,6,each,00.2 ,System Chassis TS8612.050  17x 73mm,Closed Out,,,,,,,,-120,+K1,"Chassis, system TS 8612.050  17x 73mm","Chassis, system TS 8612.050  17x 73mm   RITTAL Order number : TS 8612.050  System Chassis 17x73mm  for TS-Profile 500mm  inner mounting level  ",System Chassis TS8612.050  17x 73mm,System Chassis TS8612.050  17x 73mm   TH-TEXT  RITTAL Bestell-Nr. : TS 8612.050  ------------------------------------------------------------  TT-TEXT  System Chassis 17x73mm  für TS-Profil 500mm  innere Montageebene  ------------------------------------------------------------  ,,"系统底架 TS 8612.050  17x 73mm
威图订单号： TS 8612.050
系统底架 17x73mm
用于 TS 支架 500mm
内部安装水平
",,,,,,,,,"BLOC, BLOA",Buy,,,each,false,102098261,,,,,,,false,Dangerous Good No / Hazardous Good No,,,,,,,,,0.1,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"ST, Import",2024-01-31 08:49:52
2,LONT-10669-001,Standard Part,Component,140,3,each,00.2 ,System Chassis TS8612.160  17x 73mm,Closed Out,,,,,,,,-130,+K1,"Chassis, system TS 8612.160  17x 73mm","Chassis, system TS 8612.160  17x 73mm   RITTAL Order No.: TS 8612.160  System chassis 17x73mm  for TS profile 600 mm  Outer mounting level  ",System Chassis TS8612.160  17x 73mm,System Chassis TS8612.160  17x 73mm   TH-TEXT  RITTAL Bestell-Nr. : TS 8612.160  ------------------------------------------------------------  TT-TEXT  System Chassis 17x73mm  für TS-Profil 600mm  ?u?ere Montageebene  ------------------------------------------------------------  ,,"威图订单号： TS 8612.160
系统底架 17x73mm
用于 TS 支架 600 mm
外部安装高度
",,,,,Rittal TS 8612.160,Rittal TS 8612.160,,,"BLOA, BLOC",Buy,,,each,false,102034714,,,,,,27180100,false,Dangerous Good No / Hazardous Good No,,,,,,,,,0.01,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"ST, Import",2024-01-31 08:49:54
2,LONT-10664-001,Standard Part,Component,150,2,meters,00.3 ,cable duct 75x75 DIN 43659 PVC gray,Released,,,,,,,,-140,+K1,cable duct 75x75 DIN 43659 PVC gray,"cable duct 75x75 DIN 43659 PVC gray
type NU DIN 75X75
manufacturer Rehau
order no. 724083",Kabelkanal 75x75 DIN 43659 PVC grau,"Kabelkanal 75x75 DIN 43659 PVC grau
Typ NU DIN 75X75
Hersteller Rehau
Bestell-Nr. 724083",电缆槽 75x75 德国标准化学会 43659 聚乙烯 灰色,"电缆槽 75x75 德国标准化学会 43659 聚乙烯 灰色
型号 NU DIN 75X75
制造商 Rehau
订单号 724083",canaleta para cables 75x75 DIN 43659,"canaleta para cables 75x75 DIN 43659
 PVC gris
tipo NU DIN 75X75
fabricante Rehau
n.? de pedido 724083",canaleta para cabos 75x75 DIN 43659 PVC,"canaleta para cabos 75x75 DIN 43659 PVC
 cinza
tipo NU DIN 75X75
fabricante Rehau
n.° de encomenda 724083",kabelov? kanál 75x75 DIN 43659 PVC ?ed?,"kabelov? kanál 75x75 DIN 43659 PVC ?ed?
typ NU DIN 75X75
v?robce Rehau
obj. ?. 724083",?ng ??t cáp 75x75 DIN 43659 nh?a PVC xám,"?ng ??t cáp 75x75 DIN 43659 nh?a PVC xám
lo?i NU DIN 75X75
nhà s?n xu?t Rehau
??n hàng s? 724083","BLOC, BLOA",Buy,,,meters,false,3712738,,,,,,27140600,false,Dangerous Good No / Hazardous Good No,K00895,,,,,,,,0.1,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Altintepe, Muhammed",2023-05-08 06:27:00
2,LONT-10757-001,Standard Part,Component,160,2,each,00.2 ,caution sign,Released,,,,,,,,-150,+K1,caution sign,"caution sign
at deactivate hazard before voltage",Warnschild,"Warnschild
bei deaktivieren Gefahr vor Spannung",警告标志,"警告标志
  停用 危害   电压",rótulo de advertencia,"rótulo de advertencia
cerca de desactivar peligro antes
 tensión",placa de advertência,"placa de advertência
em desativar risco antes voltagem",v?stra?ná tabulka,"v?stra?ná tabulka
u deaktivovat nebezpe?í p?ed elektrické
 napětí",bi?n c?nh báo,"bi?n c?nh báo
t?i h?y kích ho?t hi?m h?a tr??c khi
 ?i?n áp","BLOA, BLOC",Buy,,,each,false,58471040,,,,,,10055030,false,Dangerous Good No / Hazardous Good No,K00123,,,,,190,100,3.0000001192093E-1,0.1,190,100,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Altintepe, Muhammed",2023-03-16 06:56:17
